date,QCOM,CRM
2022-08-10,134.32394409179688,185.8809814453125
2022-08-11,135.0915985107422,184.02816772460938
2022-08-12,138.25343322753906,187.1424560546875
2022-08-15,139.02108764648438,188.29550170898438
2022-08-16,137.1020050048828,186.84678649902344
2022-08-17,135.73126220703125,185.2403564453125
2022-08-18,138.33567810058594,185.21078491210938
2022-08-19,134.8813934326172,181.11099243164062
2022-08-22,129.4075469970703,174.41921997070312
2022-08-23,128.59425354003906,173.45339965820312
2022-08-24,129.1334228515625,177.4053955078125
2022-08-25,133.647705078125,171.39366149902344
2022-08-26,126.45590209960938,162.83924865722656
2022-08-29,125.26790618896484,157.8918914794922
2022-08-30,122.8279800415039,157.3596954345703
2022-08-31,121.55062103271484,153.86106872558594
2022-09-01,119.3910903930664,151.30853271484375
2022-09-02,118.06776428222656,151.46621704101562
2022-09-06,116.40447235107422,149.5247344970703
2022-09-07,118.17804718017578,151.06216430664062
2022-09-08,118.40779113769531,154.62977600097656
2022-09-09,121.34843444824219,160.23745727539062
2022-09-12,122.22146606445312,163.2334747314453
2022-09-13,114.80545806884766,155.81240844726562
2022-09-14,117.19475555419922,157.9608612060547
2022-09-15,114.85142517089844,152.5404510498047
2022-09-16,114.82384490966797,149.31776428222656
2022-09-19,116.38607025146484,150.61866760253906
2022-09-20,114.65843200683594,147.6325225830078
2022-09-21,114.52059936523438,145.493896484375
2022-09-22,113.65677642822266,147.97744750976562
2022-09-23,111.36856842041016,144.88287353515625
2022-09-26,110.03606414794922,144.202880859375
2022-09-27,110.58744812011719,146.73565673828125
2022-09-28,109.29170989990234,147.99717712402344
2022-09-29,105.53316497802734,144.68576049804688
2022-09-30,103.82392883300781,141.75875854492188
2022-10-03,107.72030639648438,145.75999450683594
2022-10-04,112.45293426513672,153.47669982910156
2022-10-05,114.76871490478516,153.96946716308594
2022-10-06,115.1270980834961,153.2106475830078
2022-10-07,111.11125946044922,148.11541748046875
2022-10-10,105.3126449584961,143.53268432617188
2022-10-11,101.11299896240234,140.5071258544922
2022-10-12,99.83562469482422,140.23117065429688
2022-10-13,103.7136459350586,143.33560180664062
2022-10-14,101.03946685791016,140.16221618652344
2022-10-17,102.54656219482422,145.0504150390625
2022-10-18,102.19738006591797,151.30853271484375
2022-10-19,103.70446014404297,151.44651794433594
2022-10-20,102.90496063232422,155.22109985351562
2022-10-21,106.3602523803711,157.85247802734375
2022-10-24,106.94837188720703,158.3255157470703
2022-10-25,109.51227569580078,162.878662109375
2022-10-26,108.53816986083984,157.59622192382812
2022-10-27,105.4045181274414,157.43853759765625
2022-10-28,109.54902648925781,160.66123962402344
2022-10-31,108.1246337890625,160.23745727539062
2022-11-01,107.82138061523438,157.50753784179688
2022-11-02,103.38282012939453,147.8394775390625
2022-11-03,95.4614028930664,144.21270751953125
2022-11-04,98.04366302490234,137.74761962890625
2022-11-07,101.16812133789062,142.49789428710938
