date,LLY,JNJ
2010-03-11,23.73906135559082,39.99420166015625
2010-03-12,23.811962127685547,39.96929931640625
2010-03-15,23.86498260498047,40.212162017822266
2010-03-16,23.97764015197754,40.187255859375
2010-03-17,24.004148483276367,40.262001037597656
2010-03-18,24.096933364868164,40.517330169677734
2010-03-19,23.971012115478516,40.548465728759766
2010-03-22,24.216230392456055,40.54225540161133
2010-03-23,24.269250869750977,40.70417022705078
2010-03-24,24.030662536621094,40.32427978515625
2010-03-25,23.84510040283203,40.212162017822266
2010-03-26,23.473974227905273,40.09383773803711
2010-03-29,23.507102966308594,40.36787796020508
2010-03-30,23.79207992553711,40.417701721191406
2010-03-31,24.004148483276367,40.60451126098633
2010-04-01,23.957763671875,40.95950698852539
2010-04-05,24.222867965698242,40.72906494140625
2010-04-06,24.196346282958984,40.67302703857422
2010-04-07,24.20298194885254,40.61697769165039
2010-04-08,24.20298194885254,40.43636703491211
2010-04-09,24.415050506591797,40.5671501159668
2010-04-12,24.236114501953125,40.548465728759766
2010-04-13,24.468063354492188,40.90345764160156
2010-04-14,24.249372482299805,40.785133361816406
2010-04-15,24.33551025390625,40.797576904296875
2010-04-16,24.216230392456055,40.49241256713867
2010-04-19,24.24273681640625,41.121429443359375
2010-04-20,24.209598541259766,41.09650802612305
2010-04-21,23.86498260498047,40.72283935546875
2010-04-22,23.447463989257812,40.34295654296875
2010-04-23,23.500486373901367,40.5048713684082
2010-04-26,23.407699584960938,40.33049774169922
2010-04-27,23.109464645385742,40.03157043457031
2010-04-28,23.03656005859375,40.243309020996094
2010-04-29,23.222135543823242,40.48619079589844
2010-04-30,23.17574119567871,40.044044494628906
2010-05-03,23.321542739868164,40.68547439575195
2010-05-04,23.20224952697754,40.293128967285156
2010-05-05,23.248641967773438,40.5671501159668
2010-05-06,22.79798698425293,39.48353576660156
2010-05-07,22.943782806396484,39.4274787902832
2010-05-10,23.29503631591797,40.32427978515625
2010-05-11,23.381183624267578,40.27444839477539
2010-05-12,23.374469757080078,40.417701721191406
2010-05-13,23.186288833618164,40.27444839477539
2010-05-14,22.796485900878906,39.83852005004883
2010-05-17,22.85697364807129,39.782466888427734
2010-05-18,22.594877243041992,39.215755462646484
2010-05-19,22.756162643432617,38.748680114746094
2010-05-20,22.406686782836914,37.708656311035156
2010-05-21,22.258834838867188,37.91416931152344
2010-05-24,22.164743423461914,37.721092224121094
2010-05-25,22.010169982910156,37.5840950012207
2010-05-26,21.674135208129883,37.15437698364258
2010-05-27,22.057212829589844,37.097808837890625
2010-05-28,22.037050247192383,36.639041900634766
2010-06-01,21.875757217407227,36.928123474121094
2010-06-02,22.319318771362305,37.53774642944336
2010-06-03,22.426851272583008,37.56288528442383
2010-06-04,21.754791259765625,36.45679473876953
2010-06-07,21.895919799804688,36.45050811767578
2010-06-08,22.110979080200195,36.85272216796875
2010-06-09,22.144588470458984,36.55735778808594
2010-06-10,22.487329483032227,36.764739990234375
2010-06-11,22.62847328186035,36.73958969116211
2010-06-14,22.76288604736328,36.71446228027344
2010-06-15,23.11236000061035,37.16694641113281
2010-06-16,22.924177169799805,37.22978973388672
2010-06-17,23.11236000061035,37.192081451416016
2010-06-18,23.26021957397461,37.192081451416016
2010-06-21,23.293819427490234,37.160667419433594
2010-06-22,23.152685165405273,37.17951965332031
2010-06-23,23.226613998413086,37.22978973388672
2010-06-24,23.172855377197266,37.4560432434082
2010-06-25,22.809934616088867,36.890438079833984
2010-06-28,22.863691329956055,37.36176681518555
2010-06-29,22.68224334716797,37.22978973388672
2010-06-30,22.514232635498047,37.11666488647461
2010-07-01,22.258834838867188,37.122955322265625
2010-07-02,22.62847328186035,37.12924575805664
2010-07-06,22.789766311645508,37.12924575805664
2010-07-07,23.293819427490234,38.09079360961914
2010-07-08,23.643299102783203,38.57468795776367
2010-07-09,23.63657569885254,38.04679870605469
2010-07-12,23.609697341918945,37.83938980102539
2010-07-13,23.66345977783203,38.021644592285156
2010-07-14,23.387907028198242,38.09707260131836
2010-07-15,23.63657569885254,37.87082290649414
2010-07-16,23.280366897583008,37.3554801940918
2010-07-19,23.515605926513672,37.43717575073242
2010-07-20,23.697057723999023,36.81501007080078
2010-07-21,23.488712310791016,35.897464752197266
2010-07-22,23.623136520385742,35.834625244140625
2010-07-23,23.63657569885254,36.21798324584961
2010-07-26,23.81802749633789,36.287109375
2010-07-27,24.2615909576416,36.51335144042969
2010-07-28,23.972599029541016,36.34367370605469
2010-07-29,23.824756622314453,36.34367370605469
2010-07-30,23.925559997558594,36.5070686340332
2010-08-02,24.42288589477539,36.90299987792969
2010-08-03,24.58418083190918,37.29892349243164
2010-08-04,24.718599319458008,37.544036865234375
2010-08-05,24.76565170288086,37.55658721923828
2010-08-06,24.779083251953125,37.68229293823242
2010-08-09,24.83957290649414,37.73883819580078
2010-08-10,25.383953094482422,37.34919738769531
2010-08-11,24.99583625793457,36.764739990234375
2010-08-12,24.920927047729492,36.777313232421875
2010-08-13,24.30811882019043,36.54478073120117
2010-08-16,24.2196102142334,36.45679473876953
2010-08-17,23.661273956298828,37.21722412109375
2010-08-18,23.68169593811035,37.29892349243164
2010-08-19,23.341245651245117,36.90299987792969
2010-08-20,23.26634407043457,36.91556930541992
2010-08-23,23.36167335510254,36.99726104736328
2010-08-24,23.130165100097656,36.45679473876953
2010-08-25,23.36167335510254,36.437923431396484
2010-08-26,23.116548538208008,36.32481384277344
2010-08-27,23.286773681640625,36.540504455566406
2010-08-30,23.130165100097656,36.350196838378906
2010-08-31,22.871423721313477,36.17257308959961
2010-09-01,23.286773681640625,36.978248596191406
2010-09-02,23.36167335510254,37.18122482299805
2010-09-03,23.599987030029297,37.384246826171875
2010-09-07,23.518281936645508,37.23833465576172
2010-09-08,23.702123641967773,37.33348846435547
2010-09-09,23.94725227355957,37.94884490966797
2010-09-10,24.124277114868164,38.05033874511719
2010-09-13,24.192365646362305,38.26603698730469
2010-09-14,24.274084091186523,38.43098449707031
2010-09-15,24.30811882019043,38.729122161865234
2010-09-16,24.287689208984375,38.88138198852539
2010-09-17,24.369407653808594,39.05900955200195
2010-09-20,24.750709533691406,39.38888931274414
2010-09-21,24.73709487915039,39.293731689453125
2010-09-22,24.546436309814453,39.31276321411133
2010-09-23,24.41705894470215,39.21125030517578
2010-09-24,24.58047866821289,39.42060470581055
2010-09-27,24.471538543701172,39.350830078125
2010-09-28,24.77794075012207,39.60458755493164
2010-09-29,24.873268127441406,39.52845001220703
2010-09-30,24.873268127441406,39.306419372558594
2010-10-01,24.880081176757812,39.17321014404297
