date,HD,LOW
2010-05-28,22.959880828857422,18.44182586669922
2010-06-01,22.90252113342285,18.099079132080078
2010-06-02,23.12784767150879,18.203392028808594
2010-06-03,22.827407836914062,18.21084213256836
2010-06-04,21.953369140625,17.52532196044922
2010-06-07,21.54366111755371,17.42845344543457
2010-06-08,21.721200942993164,17.41356086730957
2010-06-09,21.68706512451172,17.346492767333984
2010-06-10,22.34258460998535,17.763765335083008
2010-06-11,22.001171112060547,17.495515823364258
2010-06-14,21.891910552978516,17.473161697387695
2010-06-15,22.028484344482422,17.830827713012695
2010-06-16,21.946533203125,17.286888122558594
2010-06-17,21.78947639465332,16.899410247802734
2010-06-18,21.809974670410156,16.854711532592773
2010-06-21,21.461727142333984,16.77274513244629
2010-06-22,20.901803970336914,16.213903427124023
2010-06-23,20.826683044433594,16.280969619750977
2010-06-24,20.259910583496094,15.826436996459961
2010-06-25,20.62183380126953,15.893505096435547
2010-06-28,20.205293655395508,15.818987846374512
2010-06-29,19.549758911132812,15.349560737609863
2010-06-30,19.167367935180664,15.215437889099121
2010-07-01,19.0649471282959,15.20798397064209
2010-07-02,18.9556884765625,15.103670120239258
2010-07-06,18.668903350830078,14.87267780303955
2010-07-07,19.126407623291016,15.19308853149414
2010-07-08,19.221994400024414,15.073867797851562
2010-07-09,19.297109603881836,15.22288990020752
2010-07-12,19.331262588500977,15.170733451843262
2010-07-13,19.556596755981445,15.766829490661621
2010-07-14,19.31077003479004,15.550748825073242
2010-07-15,19.35174560546875,15.558196067810059
2010-07-16,18.511838912963867,14.932291984558105
2010-07-19,18.484533309936523,14.932290077209473
2010-07-20,19.07177734375,15.231988906860352
2010-07-21,18.757667541503906,14.969749450683594
2010-07-22,19.269794464111328,15.60660171508789
2010-07-23,19.29029083251953,15.816391944885254
2010-07-26,19.795583724975586,16.33336067199707
2010-07-27,19.515621185302734,15.846358299255371
2010-07-28,19.1742000579834,15.509203910827637
2010-07-29,19.153718948364258,15.34437370300293
2010-07-30,19.46782684326172,15.539170265197754
2010-08-02,19.884357452392578,15.981226921081543
2010-08-03,19.426851272583008,15.539170265197754
2010-08-04,19.611207962036133,15.591617584228516
2010-08-05,19.604394912719727,15.539170265197754
2010-08-06,19.58390998840332,15.194520950317383
2010-08-09,19.59756088256836,15.217000961303711
2010-08-10,19.28345489501953,14.92479133605957
2010-08-11,18.92154884338379,14.842382431030273
2010-08-12,18.85326385498047,14.78994083404541
2010-08-13,18.64841651916504,14.677555084228516
2010-08-16,18.696210861206055,14.759969711303711
2010-08-17,19.331262588500977,14.977240562438965
2010-08-18,19.706811904907227,15.576630592346191
2010-08-19,19.269794464111328,15.284436225891113
2010-08-20,19.23565673828125,15.464242935180664
2010-08-23,19.003496170043945,15.157065391540527
2010-08-24,18.969350814819336,15.14957046508789
2010-08-25,19.344911575317383,15.516695976257324
2010-08-26,19.37905502319336,15.471738815307617
2010-08-27,19.6248836517334,15.808899879455566
2010-08-30,19.112743377685547,15.329379081726074
2010-08-31,19.158191680908203,15.194520950317383
2010-09-01,19.743547439575195,15.913788795471191
2010-09-02,20.253145217895508,16.438257217407227
2010-09-03,20.556150436401367,16.453237533569336
2010-09-07,20.19805908203125,16.13107681274414
2010-09-08,20.28069305419922,16.138566970825195
2010-09-09,20.253145217895508,16.16103744506836
2010-09-10,20.4390869140625,16.123577117919922
2010-09-13,20.652568817138672,16.265933990478516
2010-09-14,20.63878631591797,16.13107681274414
2010-09-15,20.61812973022461,16.093603134155273
2010-09-16,20.625022888183594,15.966233253479004
2010-09-17,20.58370018005371,15.748953819274902
2010-09-20,21.107065200805664,16.07861328125
2010-09-21,21.286115646362305,16.25094985961914
2010-09-22,21.26545524597168,16.30339813232422
2010-09-23,21.237911224365234,16.123577117919922
2010-09-24,21.788833618164062,16.84284210205078
2010-09-27,21.76128578186035,16.68549919128418
2010-09-28,21.905900955200195,16.790393829345703
2010-09-29,21.905900955200195,16.62557029724121
2010-09-30,21.81637954711914,16.700489044189453
2010-10-01,21.912790298461914,16.74544334411621
2010-10-04,21.809486389160156,16.663028717041016
2010-10-05,21.85769271850586,16.985197067260742
2010-10-06,21.85769271850586,16.985197067260742
2010-10-07,21.85769271850586,16.955238342285156
2010-10-08,21.960994720458984,17.007675170898438
2010-10-11,21.892131805419922,16.92525863647461
2010-10-12,21.630449295043945,16.513179779052734
