date,XLB
2002-02-08,6.436694145202637
2002-02-11,6.611055374145508
2002-02-12,6.5667266845703125
2002-02-13,6.6376566886901855
2002-02-14,6.6228766441345215
2002-02-15,6.649473667144775
2002-02-19,6.522396087646484
2002-02-20,6.61696720123291
2002-02-21,6.679026126861572
2002-02-22,6.738132476806641
2002-02-25,6.773599624633789
2002-02-26,6.785419940948486
2002-02-27,6.823840618133545
2002-02-28,6.820881366729736
2002-03-01,6.921366214752197
2002-03-04,7.110503196716309
2002-03-05,6.906585693359375
2002-03-06,7.033666133880615
2002-03-07,6.986382484436035
2002-03-08,6.956829071044922
2002-03-11,6.947962760925293
2002-03-12,6.959784507751465
2002-03-13,6.871120452880859
2002-03-14,6.965691089630127
2002-03-15,7.030638217926025
2002-03-18,7.057320594787598
2002-03-19,7.122555732727051
2002-03-20,7.089938163757324
2002-03-21,6.974294185638428
2002-03-22,6.917952537536621
2002-03-25,6.828993797302246
2002-03-26,6.956504821777344
2002-03-27,7.101799964904785
2002-03-28,7.030638217926025
2002-04-01,6.9920806884765625
2002-04-02,6.962427616119385
2002-04-03,6.864578723907471
2002-04-04,6.778585433959961
2002-04-05,6.870510578155518
2002-04-08,6.9001617431640625
2002-04-09,6.894227027893066
2002-04-10,7.04249382019043
2002-04-11,6.962427616119385
2002-04-12,6.926848888397217
2002-04-15,6.909057140350342
2002-04-16,7.030638217926025
2002-04-17,7.063250541687012
2002-04-18,6.986153602600098
2002-04-19,6.998015880584717
2002-04-22,6.823064804077148
2002-04-23,6.740036487579346
2002-04-24,6.6985249519348145
2002-04-25,6.683701992034912
2002-04-26,6.704453945159912
2002-04-29,6.5917768478393555
2002-04-30,6.6985249519348145
2002-05-01,6.707420349121094
2002-05-02,6.85271692276001
2002-05-03,6.897197723388672
2002-05-06,6.85568380355835
2002-05-07,6.909057140350342
2002-05-08,6.983190536499023
2002-05-09,6.989117622375488
2002-05-10,6.965394020080566
2002-05-13,7.015807628631592
2002-05-14,7.122555732727051
2002-05-15,7.140346527099609
2002-05-16,7.116627216339111
2002-05-17,7.149247169494629
2002-05-20,7.113661766052246
2002-05-21,7.101799964904785
2002-05-22,7.125524520874023
2002-05-23,7.241166114807129
2002-05-24,7.143318176269531
2002-05-28,7.101799964904785
2002-05-29,7.054356098175049
2002-05-30,6.9920806884765625
2002-05-31,7.030638217926025
2002-06-03,6.920917510986328
2002-06-04,6.88533353805542
2002-06-05,6.938708782196045
2002-06-06,6.831958770751953
2002-06-07,6.834926605224609
2002-06-10,6.849756717681885
2002-06-11,6.772656440734863
2002-06-12,6.828993797302246
2002-06-13,6.707420349121094
2002-06-14,6.710383415222168
2002-06-17,6.8201003074646
2002-06-18,6.849756717681885
2002-06-19,6.834926605224609
2002-06-20,6.8408589363098145
2002-06-21,6.755925178527832
2002-06-24,6.761882305145264
2002-06-25,6.806583881378174
2002-06-26,6.746982097625732
2002-06-27,6.800628662109375
2002-06-28,6.910890102386475
2002-07-01,6.869168281555176
2002-07-02,6.732081890106201
2002-07-03,6.6665191650390625
2002-07-05,6.8363871574401855
2002-07-08,6.854266166687012
2002-07-09,6.78274393081665
2002-07-10,6.583076000213623
2002-07-11,6.484732627868652
2002-07-12,6.419169902801514
2002-07-15,6.2731451988220215
2002-07-16,6.159900188446045
2002-07-17,6.204600811004639
2002-07-18,6.112220287322998
2002-07-19,5.841029167175293
2002-07-22,5.569838047027588
2002-07-23,5.534077167510986
2002-07-24,5.864869594573975
2002-07-25,6.025795936584473
2002-07-26,6.052617073059082
2002-07-29,6.353607177734375
2002-07-30,6.115198135375977
2002-07-31,6.127117156982422
2002-08-01,6.088376998901367
2002-08-02,5.832086563110352
2002-08-05,5.632419586181641
2002-08-06,5.8708295822143555
2002-08-07,6.016855239868164
2002-08-08,6.139039516448975
2002-08-09,6.210562705993652
2002-08-12,6.180759429931641
2002-08-13,6.079437732696533
2002-08-14,6.156919479370117
2002-08-15,6.153939247131348
2002-08-16,6.043674945831299
2002-08-19,6.168838024139404
2002-08-20,6.06751823425293
2002-08-21,6.142019748687744
2002-08-22,6.204600811004639
2002-08-23,6.118177890777588
2002-08-26,6.186722278594971
2002-08-27,6.213542938232422
2002-08-28,6.043674945831299
2002-08-29,6.025795936584473
2002-08-30,6.094338417053223
2002-09-03,5.915529727935791
2002-09-04,5.939371585845947
2002-09-05,5.778445720672607
2002-09-06,5.894667625427246
2002-09-09,5.981093883514404
2002-09-10,6.013874530792236
2002-09-11,6.049636363983154
2002-09-12,5.933412075042725
2002-09-13,5.897653102874756
2002-09-16,5.849968433380127
2002-09-17,5.739705562591553
2002-09-18,5.692020416259766
2002-09-19,5.56685733795166
2002-09-20,5.675083160400391
2002-09-23,5.570154666900635
2002-09-24,5.336317539215088
2002-09-25,5.468225955963135
2002-09-26,5.546173572540283
2002-09-27,5.3872809410095215
2002-09-30,5.303338527679443
2002-10-01,5.633111953735352
2002-10-02,5.375288963317871
2002-10-03,5.3273234367370605
2002-10-04,5.261366844177246
2002-10-07,5.105477809906006
2002-10-08,5.186420917510986
2002-10-09,4.985559463500977
2002-10-10,5.213400840759277
2002-10-11,5.423255920410156
2002-10-14,5.414261817932129
2002-10-15,5.699065208435059
2002-10-16,5.558163642883301
2002-10-17,5.717052459716797
2002-10-18,5.681079864501953
2002-10-21,5.8759446144104
2002-10-22,5.738038063049316
2002-10-23,5.729044437408447
2002-10-24,5.5401740074157715
2002-10-25,5.702063083648682
2002-10-28,5.61512565612793
2002-10-29,5.588140964508057
2002-10-30,5.585143566131592
2002-10-31,5.606132507324219
2002-11-01,5.726046085357666
2002-11-04,5.7080607414245605
2002-11-05,5.756026268005371
2002-11-06,5.905923366546631
2002-11-07,5.783008098602295
2002-11-08,5.696066856384277
2002-11-11,5.531179904937744
2002-11-12,5.606132507324219
2002-11-13,5.600133895874023
2002-11-14,5.771017074584961
2002-11-15,5.7860026359558105
2002-11-18,5.720051288604736
2002-11-19,5.720051288604736
2002-11-20,5.783008098602295
2002-11-21,6.016847133636475
2002-11-22,5.944893836975098
2002-11-25,6.001857757568359
2002-11-26,5.944893836975098
2002-11-27,6.142758846282959
2002-11-29,6.280662536621094
2002-12-02,6.163743019104004
2002-12-03,6.091794967651367
2002-12-04,6.05881404876709
2002-12-05,6.01085090637207
2002-12-06,6.046824932098389
2002-12-09,5.90892219543457
2002-12-10,5.950891017913818
2002-12-11,6.016847133636475
2002-12-12,5.959887504577637
2002-12-13,5.923913478851318
2002-12-16,6.118776798248291
2002-12-17,6.0738067626953125
2002-12-18,6.01085090637207
2002-12-19,5.935900688171387
2002-12-20,6.038304805755615
2002-12-23,6.008096694946289
2002-12-24,6.0111165046691895
2002-12-26,6.0171589851379395
2002-12-27,5.9507060050964355
2002-12-30,5.968830108642578
2002-12-31,5.99299430847168
2003-01-02,6.150067329406738
2003-01-03,6.11683988571167
2003-01-06,6.23464298248291
2003-01-07,6.2135009765625
2003-01-08,6.053410053253174
2003-01-09,6.1470489501953125
2003-01-10,6.2135009765625
2003-01-13,6.18631649017334
2003-01-14,6.216524124145508
2003-01-15,6.113821506500244
2003-01-16,6.1470489501953125
2003-01-17,6.098715782165527
2003-01-21,5.96580696105957
2003-01-22,5.893312454223633
2003-01-23,5.980906963348389
2003-01-24,5.847999572753906
2003-01-27,5.666761875152588
2003-01-28,5.715090751647949
2003-01-29,5.760402679443359
2003-01-30,5.6335344314575195
2003-01-31,5.693947792053223
2003-02-03,5.709049224853516
2003-02-04,5.684886932373047
2003-02-05,5.669780731201172
