date,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2016-12-01,20.563383102416992,25.002565383911133,19.121450424194336,53.179351806640625,21.024898529052734,38.658077239990234,21.111330032348633,17.043855667114258,57.95417404174805,37.04228210449219
2016-12-02,20.57161521911621,25.076282501220703,18.912700653076172,53.17088317871094,21.10172462463379,38.90424728393555,21.311370849609375,17.198196411132812,58.09003829956055,36.8387451171875
2016-12-05,20.732139587402344,25.297460556030273,19.138153076171875,53.1285514831543,21.305110931396484,38.95042419433594,21.482831954956055,17.220245361328125,57.9881477355957,37.2413215637207
2016-12-06,20.7568359375,25.25053596496582,19.305150985717773,53.230140686035156,21.368379592895508,39.06582260131836,21.575706481933594,17.18716812133789,58.149471282958984,37.327266693115234
2016-12-07,21.053192138671875,25.45160675048828,19.605745315551758,54.22059631347656,21.775142669677734,39.627410888671875,22.02580451965332,17.411333084106445,57.64848327636719,38.051002502441406
2016-12-08,21.19312858581543,25.589004516601562,19.789447784423828,53.91584396362305,21.829378128051758,39.46586608886719,22.14011001586914,17.440736770629883,57.758872985839844,38.051002502441406
2016-12-09,21.197248458862305,25.669431686401367,19.831195831298828,54.16133117675781,21.987564086914062,40.0351448059082,22.125818252563477,17.624473571777344,58.46366882324219,38.13694763183594
2016-12-12,21.10257339477539,25.79007339477539,19.639142990112305,53.96663284301758,21.91976547241211,40.196712493896484,22.35443687438965,17.808216094970703,58.743873596191406,37.820316314697266
2016-12-13,21.069650650024414,26.08161735534668,19.68924331665039,53.89045333862305,22.195453643798828,40.381343841552734,22.411590576171875,17.991962432861328,59.21940994262695,38.159576416015625
2016-12-14,20.818574905395508,25.5588436126709,19.597396850585938,53.34865951538086,22.118623733520508,39.94282913208008,22.01865577697754,17.62080192565918,58.9137077331543,37.901729583740234
2016-12-15,20.954404830932617,25.615808486938477,19.764402389526367,53.40791702270508,22.218055725097656,40.112083435058594,21.840049743652344,17.745746612548828,59.29582214355469,37.811256408691406
2016-12-16,20.889768600463867,25.774822235107422,19.594120025634766,53.300601959228516,22.057361602783203,40.34149932861328,22.146345138549805,17.962055206298828,59.342742919921875,37.625614166259766
2016-12-19,20.84833526611328,25.65691375732422,19.602510452270508,53.59870529174805,22.216238021850586,40.419002532958984,22.342775344848633,18.028854370117188,59.095420837402344,37.72572326660156
2016-12-20,20.86491584777832,25.599645614624023,19.845762252807617,53.90532684326172,22.297948837280273,40.34149932861328,22.357324600219727,18.051111221313477,59.05275344848633,38.02602767944336
2016-12-21,20.873199462890625,25.640064239501953,19.795433044433594,53.70089340209961,22.252559661865234,40.33375549316406,22.073593139648438,17.97690773010254,58.72016143798828,38.00784683227539
2016-12-22,20.78619384765625,25.744503021240234,19.745105743408203,53.59870529174805,22.207157135009766,40.271751403808594,22.04448890686035,18.039976119995117,58.79690933227539,37.59832000732422
2016-12-23,20.827625274658203,25.720918655395508,19.77865219116211,53.64980697631836,22.229862213134766,40.34925842285156,22.066312789916992,18.03626823425293,59.24040603637695,37.51641082763672
2016-12-27,20.93949317932129,25.77818489074707,19.80381965637207,53.760528564453125,22.320642471313477,40.34149932861328,22.124513626098633,18.051111221313477,59.35981750488281,37.66202163696289
2016-12-28,20.728191375732422,25.498586654663086,19.602510452270508,53.19839096069336,22.120914459228516,40.09347915649414,21.957181930541992,17.880430221557617,58.90776062011719,37.40266799926758
2016-12-29,20.728191375732422,25.44805335998535,19.459915161132812,53.18136215209961,22.125446319580078,40.27948760986328,22.160890579223633,18.12160873413086,59.01011657714844,37.35261154174805
2016-12-30,20.591459274291992,25.373933792114258,19.50185775756836,52.993980407714844,21.952953338623047,40.07798767089844,22.37188148498535,18.02142906188965,58.79690933227539,37.038639068603516
2017-01-03,20.711606979370117,25.660287857055664,19.719942092895508,53.30911636352539,22.14815330505371,40.22526168823242,22.44463539123535,17.97690773010254,59.564491271972656,37.257057189941406
2017-01-04,21.01406478881836,25.60637855529785,19.879314422607422,53.624263763427734,22.225322723388672,40.22526168823242,22.728376388549805,18.043689727783203,60.033565521240234,37.753021240234375
2017-01-05,20.951921463012695,25.542373657226562,19.67799949645996,53.4709358215332,22.26163101196289,40.35700988769531,22.84477996826172,18.062238693237305,60.340579986572266,37.72572326660156
2017-01-06,20.972633361816406,25.565950393676758,19.745105743408203,53.777557373046875,22.425060272216797,40.395755767822266,22.84477996826172,18.11789894104004,60.51118087768555,37.91228485107422
2017-01-09,20.968488693237305,25.195388793945312,19.61090087890625,53.360233306884766,22.420516967773438,40.07024383544922,22.69927215576172,17.880430221557617,60.76702117919922,37.880435943603516
2017-01-10,20.980915069580078,24.966306686401367,19.6528377532959,53.581661224365234,22.425060272216797,39.868717193603516,22.415531158447266,17.824777603149414,60.98025131225586,38.01694107055664
2017-01-11,21.15079116821289,25.235809326171875,19.77865219116211,53.86273193359375,22.529462814331055,39.946231842041016,22.291851043701172,18.010299682617188,60.366172790527344,38.09883117675781
2017-01-12,21.109355926513672,25.131370544433594,19.61090087890625,53.64128875732422,22.474992752075195,39.907466888427734,22.379152297973633,18.02513885498047,60.42588806152344,38.06245422363281
2017-01-13,21.076208114624023,25.05726432800293,19.719942092895508,53.845699310302734,22.5430850982666,39.93072509765625,22.32822608947754,17.99916648864746,60.4855842590332,38.2034912109375
2017-01-17,20.980915069580078,25.212223052978516,19.250221252441406,53.42835235595703,22.45683479309082,40.49652099609375,22.51011085510254,18.195816040039062,60.17854309082031,38.26719284057617
2017-01-18,21.113494873046875,25.154958724975586,19.409589767456055,53.63276290893555,22.515846252441406,40.63602828979492,22.56104278564453,18.173551559448242,60.10179901123047,38.198951721191406
2017-01-19,20.980915069580078,25.016847610473633,19.32571792602539,54.02457046508789,22.484067916870117,40.48876190185547,22.342775344848633,18.014009475708008,59.718013763427734,38.080650329589844
2017-01-20,21.167362213134766,25.11116600036621,19.417978286743164,54.03306579589844,22.60663414001465,40.75228500366211,22.48100471496582,18.047399520874023,59.564491271972656,38.18984603881836
2017-01-23,21.20879364013672,24.845029830932617,19.29215431213379,53.73497772216797,22.647489547729492,40.73678207397461,22.619245529174805,17.954641342163086,59.31716537475586,38.21712875366211
2017-01-24,21.755691528320312,25.11789894104004,19.535404205322266,54.27155685424805,22.78821563720703,41.0080451965332,22.626523971557617,17.95093536376953,58.90776062011719,38.53110885620117
2017-01-25,21.90070343017578,25.249286651611328,19.862531661987305,54.84221649169922,23.006113052368164,41.00029373168945,22.488283157348633,17.95093536376953,59.46214294433594,38.7677116394043
2017-01-26,21.958703994750977,25.26949691772461,19.912858963012695,54.969970703125,22.942562103271484,40.82204055786133,22.473735809326172,17.95835304260254,59.0015754699707,38.826873779296875
2017-01-27,21.879981994628906,25.006732940673828,19.837373733520508,54.927371978759766,23.03335189819336,40.59726333618164,22.284576416015625,17.954641342163086,59.48773956298828,38.70402145385742
2017-01-30,21.6562557220459,24.548574447631836,19.67799949645996,54.45893478393555,22.84722900390625,40.56626510620117,22.160890579223633,17.969482421875,59.19774627685547,38.65850830078125
2017-01-31,21.527814865112305,24.55868148803711,19.55217933654785,53.981990814208984,22.733739852905273,40.76002883911133,22.342775344848633,18.24776840209961,60.144447326660156,38.599361419677734
2017-02-01,21.635540008544922,24.37675666809082,19.57734489440918,53.88829040527344,22.90623664855957,40.4422492980957,22.09541130065918,17.93238067626953,60.66469192504883,38.52655792236328
2017-02-02,21.540239334106445,24.514881134033203,19.50185775756836,53.786075592041016,22.860855102539062,40.81428909301758,22.357324600219727,18.12160873413086,60.64764404296875,38.49470901489258
2017-02-03,21.577537536621094,24.727123260498047,19.89609146118164,54.1863899230957,23.010650634765625,41.077796936035156,22.502836227416992,18.143871307373047,60.911991119384766,38.44464874267578
2017-02-06,21.519533157348633,24.51825523376465,19.80381965637207,54.26304626464844,23.024269104003906,40.85303497314453,22.364599227905273,18.106765747070312,60.98025131225586,38.33089828491211
2017-02-07,21.34966468811035,24.171260833740234,19.753494262695312,54.356727600097656,23.115062713623047,41.186309814453125,22.32094955444336,18.151290893554688,61.039939880371094,38.29450607299805
2017-02-08,21.399377822875977,24.228530883789062,19.619285583496094,54.28007125854492,23.155912399291992,41.35681915283203,22.51011085510254,18.329389572143555,60.94614028930664,38.53110885620117
2017-02-09,21.39109230041504,24.501407623291016,19.887699127197266,54.697418212890625,23.228546142578125,41.5273323059082,22.604692459106445,18.173551559448242,61.16789627075195,38.77227783203125
